run_name,split,class_name,instances,precision,recall,map50,map50_95
baseline_yolo11n-seg_20260824_155822,val,Bouteille,110,0.8385,0.67273,0.7839,0.57618
baseline_yolo11n-seg_20260824_155822,val,Flipflops,62,0.79236,0.80645,0.82625,0.57384
baseline_yolo11n-seg_20260824_155822,val,Cagette,34,0.96669,0.76471,0.77222,0.68216
baseline_yolo11n-seg_20260824_155822,val,Bouee,8,0.91139,1.0,0.995,0.61412
baseline_yolo11n-seg_20260824_155822,val,Cordage_Filet,110,0.86839,0.74545,0.78428,0.52583
baseline_yolo11n-seg_20260824_155822,val,Bouchon,23,0.0,0.0,0.0,0.0
baseline_yolo11n-seg_20260824_155822,val,Bidon,303,0.13203,0.00757,0.21713,0.1391
baseline_yolo11n-seg_20260824_155822,val,Debris_Divers,0,,,,
baseline_yolo11n-seg_20260824_155822,test,Bouteille,295,0.71577,0.52926,0.64299,0.42447
baseline_yolo11n-seg_20260824_155822,test,Flipflops,208,0.76619,0.69712,0.76529,0.51739
baseline_yolo11n-seg_20260824_155822,test,Cagette,16,0.96949,0.75,0.77884,0.6012
baseline_yolo11n-seg_20260824_155822,test,Bouee,38,0.93342,0.81579,0.90224,0.76623
baseline_yolo11n-seg_20260824_155822,test,Cordage_Filet,126,0.75045,0.57281,0.72133,0.46721
baseline_yolo11n-seg_20260824_155822,test,Bouchon,46,0.0,0.0,0.0,0.0
baseline_yolo11n-seg_20260824_155822,test,Bidon,365,0.11233,0.01284,0.15679,0.10686
baseline_yolo11n-seg_20260824_155822,test,Debris_Divers,0,,,,
new_ref_vanilla_yolo11n-seg_20260827_020134,val,Bouteille,110,0.47191,0.27273,0.27546,0.16369
new_ref_vanilla_yolo11n-seg_20260827_020134,val,Flipflops,62,0.65206,0.17742,0.22632,0.13287
new_ref_vanilla_yolo11n-seg_20260827_020134,val,Cagette,34,0.68131,0.55882,0.65632,0.51044
new_ref_vanilla_yolo11n-seg_20260827_020134,val,Bouee,8,0.0,0.0,0.00021,0.00014
new_ref_vanilla_yolo11n-seg_20260827_020134,val,Cordage_Filet,110,0.50708,0.18182,0.25077,0.14008
new_ref_vanilla_yolo11n-seg_20260827_020134,val,Bidon,23,0.18015,0.47826,0.40787,0.33568
new_ref_vanilla_yolo11n-seg_20260827_020134,val,Debris_Divers,303,0.50939,0.50165,0.47087,0.28048
new_ref_vanilla_yolo11n-seg_20260827_020134,test,Bouteille,295,0.35325,0.21292,0.1736,0.11025
new_ref_vanilla_yolo11n-seg_20260827_020134,test,Flipflops,208,0.54404,0.24038,0.38518,0.23835
new_ref_vanilla_yolo11n-seg_20260827_020134,test,Cagette,16,0.13374,0.1875,0.1968,0.14138
new_ref_vanilla_yolo11n-seg_20260827_020134,test,Bouee,38,0.66988,0.5,0.56597,0.44955
new_ref_vanilla_yolo11n-seg_20260827_020134,test,Cordage_Filet,126,0.40935,0.30952,0.26186,0.13791
new_ref_vanilla_yolo11n-seg_20260827_020134,test,Bidon,46,0.20947,0.57029,0.33118,0.21156
new_ref_vanilla_yolo11n-seg_20260827_020134,test,Debris_Divers,365,0.24317,0.47671,0.30716,0.1675
